address,latitude,longitude
2845 16TH ST,37.765139176196,-122.417250847757
1695 STOCKTON ST,37.801273517204,-122.409423511022
4924 03RD ST,,
2791 16TH ST,37.76527561164,-122.415063305294
4920 03RD ST,,
4922 03RD ST,,
1691 STOCKTON ST,37.801240303575,-122.409417061778
1651 STOCKTON ST,37.800908167284,-122.409352569338
1609 STOCKTON ST,37.800559424179,-122.409284852276
2410 MENDELL ST,37.72815540143,-122.395958740493
575 22ND ST,37.75795350356,-122.38713764954
290 GUERRERO ST,37.766580293633,-122.424390616734
948 HARRISON ST,37.778247858943,-122.402941775557
1260 HARRISON ST,37.773125616165,-122.409425385843
1880 DOLORES ST,,
1020 HARRISON ST,37.776821263715,-122.404744416533
785 COLUMBUS AVE,37.801963894055,-122.412700851188
601 24TH ST,37.754159849562,-122.386040950992
125 06TH ST,,
1910 MISSION ST,37.766461112168,-122.419875182435
91 06TH ST,,
1270 HARRISON ST,37.77307231788,-122.409493400828
1280 HARRISON ST,37.773019019594,-122.409561415813
1930 MISSION ST,37.766151985016,-122.419846148431
380 09TH ST,,
1340 HARRISON ST,37.771892366483,-122.410983513381
740 BROADWAY,37.797608825685,-122.40924739303
905 FOLSOM ST,37.780118132388,-122.403474214589
1960 MISSION ST,37.765688294288,-122.419802597425
52 06TH ST,,
70 06TH ST,,
324 12TH ST,37.770587735976,-122.414440327292
751 BROADWAY,37.797487330218,-122.409288295559
340 12TH ST,37.770472253203,-122.41417735475
10 HOFF ST,37.76441960499,-122.420601782375
362 12TH ST,37.770378145484,-122.413963178623
20 HOFF ST,37.764306823854,-122.420591606647
225 COLUMBUS AVE,37.797229420954,-122.405864305458
363 06TH ST,,
36 HOFF ST,37.764126374036,-122.420575325482
175 KISSLING ST,37.771716761324,-122.415827868679
1130 FOLSOM ST,37.776164384492,-122.408680392968
48 HOFF ST,37.763991036673,-122.420563114609
1320 FOLSOM ST,37.773204429396,-122.412430404558
88 HOFF ST,37.763539912128,-122.420522411698
1200 FOLSOM ST,37.774993041008,-122.410164798477
75 RAUSCH ST,37.776234377106,-122.409303499705
248 08TH ST,,
73 RAUSCH ST,37.776257568401,-122.409333213544
2524 MISSION ST,37.756612267212,-122.418932297794
33 RAUSCH ST,37.776720590845,-122.40992873643
25 RAUSCH ST,37.776813132842,-122.410047870924
3055 MISSION ST,37.748574607606,-122.418022326472
2135 MISSION ST,37.76292428414,-122.419391710676
1985 MISSION ST,37.765325826398,-122.419623195971
1965 MISSION ST,37.765634953549,-122.419652229975
4178 MISSION ST,37.730307936478,-122.429871540342
4528 MISSION ST,37.725459553623,-122.434295485906
4712 MISSION ST,37.722833785856,-122.436281590426
4736 MISSION ST,37.722370307468,-122.436628195105
4870 MISSION ST,37.720406857477,-122.438157466432
5036 MISSION ST,37.717942275236,-122.440031551501
943 GENEVA AVE,37.716198586913,-122.440333214409
46 EXCELSIOR AVE,37.726019466157,-122.433303994307
415 FILBERT ST,37.801659555153,-122.406650448713
899 PACIFIC AVE,37.796446911867,-122.409992381803
537 JONES ST,37.786142654618,-122.413115016842
701 BAKER ST,37.777416753068,-122.441762155295
585 CHURCH ST,37.762246609081,-122.428373841146
621 STANYAN ST,37.769863521555,-122.453752023862
161 LEAVENWORTH ST,37.7824113849,-122.414049522566
147 LEAVENWORTH ST,37.782293836259,-122.414025786798
945 HYDE ST,37.789526916444,-122.417172395562
145 LEAVENWORTH ST,37.782277043596,-122.414022395974
1031 HYDE ST,37.79034049556,-122.417337666892
3117 24TH ST,37.752422516205,-122.414465568502
3105 24TH ST,37.752436167041,-122.414230578823
445 CHURCH ST,37.76363353096,-122.428508509424
915 HYDE ST,37.789277773295,-122.417121599419
219 LEAVENWORTH ST,37.782992991848,-122.414167367124
897 HYDE ST,37.789031303323,-122.417071491828
572 SAN JOSE AVE,37.746667988849,-122.421685270132
225 LEAVENWORTH ST,37.783042820493,-122.414177526356
815 HYDE ST,37.788328460609,-122.416929571758
3455 19TH AVE,37.760077174251,-122.420905709288
248 LEAVENWORTH ST,37.783675603538,-122.414159679816
425 CHURCH ST,37.76400704831,-122.428544424508
201 LEAVENWORTH ST,37.782843505914,-122.414136889429
1184 VALENCIA ST,37.753963098726,-122.420910823655
253 LEAVENWORTH ST,37.783275354168,-122.414224936103
745 HYDE ST,37.787542760696,-122.416771020402
3505 20TH ST,37.758564531633,-122.419212192852
2979 24TH ST,37.752594108238,-122.411490969415
702 LYON ST,37.777244169001,-122.443264742524
1290 VALENCIA ST,37.752279698647,-122.420753137225
805 HYDE ST,37.788242748083,-122.416912264433
590 SAN JOSE AVE,37.746537792348,-122.421732484261
705 HYDE ST,37.787495291026,-122.416761419801
